레벨    필요 경험치    총 경험치
1       100         100
2       112         212
3       125         337
4       140         477
5       157         634
6       176         810
7       197         1,007
8       220         1,227
9       247         1,474
10      276         1,750
11      309         2,059
12      346         2,405
13      388         2,793
14      435         3,228
15      487         3,715
16      545         4,260
17      610         4,870
18      683         5,553
19      765         6,318
20      856         7,174
21      959         8,133
22      1,074       9,207
23      1,203       10,410
24      1,347       11,757
25      1,509       13,266
26      1,690       14,956
27      1,893       16,849
28      2,120       18,969
29      2,374       21,343
30      2,659       24,002
31      2,978       26,980
32      3,335       30,315
33      3,735       34,050
34      4,183       38,233
35      4,685       42,918
36      5,247       48,165
37      5,877       54,042
38      6,582       60,624
39      7,372       67,996
40      8,256       76,252
41      9,247       85,499
42      10,357      95,856
43      11,600      107,456
44      12,992      120,448
45      14,551      134,999
46      16,297      151,296
47      18,253      169,549
48      20,443      189,992
49      22,896      212,888
50      25,644      238,532
51      28,721      267,253
52      32,167      299,420
53      36,027      335,447
54      40,350      375,797
55      45,192      420,989
56      50,615      471,604
57      56,689      528,293
58      63,492      591,785
59      71,111      662,896
60      79,644      742,540
61      89,201      831,741
62      99,905      931,646
63      111,894     1,043,540
64      125,321     1,168,861
65      140,359     1,309,220
66      157,202     1,466,422
67      176,066     1,642,488
68      197,194     1,839,682
69      220,857     2,060,539
70      247,360     2,307,899
71      277,043     2,584,942
72      310,288     2,895,230
73      347,523     3,242,753
74      389,226     3,631,979
75      435,933     4,067,912
76      488,245     4,556,157
77      546,834     5,102,991
78      612,454     5,715,445
79      685,948     6,401,393
80      768,262     7,169,655
81      860,453     8,030,108
82      963,707     8,993,815
83      1,079,352   10,073,167
84      1,208,874   11,282,041
85      1,353,939   12,635,980
86      1,516,412   14,152,392
87      1,698,381   15,850,773
88      1,902,187   17,752,960
89      2,130,449   19,883,409
90      2,386,103   22,269,512
91      2,672,435   24,941,947
92      2,993,127   27,935,074
93      3,352,302   31,287,376
94      3,754,578   35,041,954
95      4,205,127   39,247,081
96      4,709,742   43,956,823
97      5,274,911   49,231,734
98      5,907,900   55,139,634
99      6,616,848   61,756,482
100     7,410,870   69,167,352
